,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MDFIC,35.8675958010232,1.31070228612524,0.339648912780004,3.85899155512447,0.00011385587154972,0.0039200656194059
ME3,15.4145987799459,1.27983667618945,0.429842111773342,2.97745763184858,0.0029064981315756,0.0299375388092311
MFRP,14.4817764989505,1.20157718305949,0.434391662521718,2.76611474558267,0.00567285699315038,0.0469356268634665
MMEL1-AS1,13.6240640536468,2.32591261268126,0.456943961659194,5.09014848174319,3.57783244520875e-07,0.000207240682870415
MOBP,10890.3525953206,-1.22910799247504,0.28438391571004,-4.32200249232187,1.54619441924047e-05,0.00145003585202485
MOG,154.20310877487,-1.59688552953124,0.327848123838502,-4.87080880876983,1.11142346716256e-06,0.000377385754522406
MOK,43.7387166153509,1.06233803851797,0.300721027227577,3.53263637169616,0.00041143796243555,0.00844306746286792
MORN3,28.3684933398554,1.12078647449682,0.385864642195035,2.90461045645722,0.0036771043140416,0.0349502376258375
MVK,40.2612779947343,-1.26662288967972,0.337975422282674,-3.74767751194744,0.000178479520253336,0.00515392327253549
MYLK3,21.4605464053539,2.48010748679894,0.638964229752364,3.88144965135236,0.000103835651169394,0.00374531009913928
MYRF,443.584495269122,-1.07007711916627,0.330250255402415,-3.24020073160085,0.00119445581437099,0.016972303613436
NECAB1,363.629997321296,-1.01444270107024,0.272556047485683,-3.72195998007905,0.000197682359273132,0.00544272614842679
NEK5,85.2748758651805,1.06455468901613,0.329240555562716,3.23336439278163,0.00122341403232774,0.0172421180297626
NFIA-AS2,17.1453779346891,1.60235199813735,0.439187584878177,3.64844556929317,0.000263831783546341,0.0064625661009473
NFYC-AS1,25.1959417390417,-1.0716305345697,0.359366783905906,-2.9819966189482,0.00286375161535456,0.0296213649568292
NINJ2,94.8342895281799,-1.17093481009955,0.311713807422004,-3.75644190991617,0.000172346253157784,0.00512374350977044
NIPA1,98.2372743243045,-1.01036259027599,0.203510335186175,-4.96467459184167,6.88163552538641e-07,0.000282347770910333
NKAIN2,113.718195007634,-1.06345104816415,0.301363737003482,-3.52879566313536,0.000417455330989105,0.00852777771078355
NKX3-1,21.775331692285,1.17781407726515,0.336387190975242,3.50136422808038,0.000462882757874456,0.00922673383965541
NKX6-2,400.51425031252,-1.21944010557576,0.290108861953397,-4.20338798809825,2.62949301517488e-05,0.00180990903662937
NNAT,97.351393846504,1.42076822238782,0.427407400275064,3.32415447526988,0.000886870561712081,0.01404021611122
NPHP1,41.9494113777128,1.15584541319376,0.353245916012235,3.27207013811229,0.00106763086825458,0.0159046311039377
NR4A1,13.7483096207903,1.70839836991205,0.450482781231065,3.79237218622075,0.000149215054211099,0.00462050515351161
NR4A2,45.2187934792099,1.03650807595174,0.325217067573095,3.187126935516,0.00143693696916366,0.0190725675925801
NR4A3,40.3196283087745,1.09273094678526,0.395585496690275,2.76231296629366,0.0057393434317534,0.04705688157575
NRARP,11.2600025275324,1.18227425057497,0.431135211194614,2.7422354284148,0.00610225870478432,0.0490922724395516
NTM-AS1,19.4965438751715,-1.55865472843735,0.432727395997269,-3.60193216989475,0.000315860789613723,0.00723321208215425
NUDT16-DT,7.57678972420352,1.55573844420581,0.522498995290186,2.97749557076522,0.00290613843606108,0.0299375388092311
NUPR1,182.936289936037,1.01805486448154,0.211163992654086,4.82115748847981,1.42727617119174e-06,0.000390399679381253
NYAP2,14.2966322226133,1.15409862966036,0.402559713998958,2.86690046104153,0.0041451336297095,0.0380756817646916
ODAD2,9.19722054132789,2.2210518854989,0.534571580802667,4.15482596767295,3.25535222673045e-05,0.00206809376623321
ODF3B,10.2070076645205,1.58897736621854,0.55759929809028,2.84967605171066,0.0043763778079553,0.0394489545135415
OMG,55.6587241901721,-1.15040037371451,0.306317478940492,-3.75558188090858,0.000172939207718226,0.00512374350977044
OPALIN,228.436982874231,-1.38827812317612,0.375882866689119,-3.69337963021421,0.000221293281903124,0.00591334495857225
OTOS,7.02295009289416,1.7161401286146,0.624446072998131,2.74825994240776,0.00599124893704599,0.0485488906514471
P2RY1,38.6787140262339,1.09654913389704,0.280360661362276,3.91120897121904,9.18352694949963e-05,0.00346475823263306
PALM3,36.087743671093,2.00232824248977,0.470108479460122,4.25928978092304,2.05077465003142e-05,0.00164178682754955
PCBP3-AS1,4.95352653603574,2.4541944360947,0.714482737159159,3.43492474829101,0.000592718395950415,0.0109376415574921
PCED1B,15.2629149550186,1.23113137656041,0.364504552903517,3.37754732212162,0.000731353678683732,0.012416620127584
PCSK6,148.386560579451,-1.43183787736991,0.358476230526388,-3.99423380252407,6.49037945222266e-05,0.00294519661133809
PDE11A,35.3959347521994,-1.15742249388313,0.368674736188188,-3.13941363558021,0.001692863065602,0.0214269521149661
PDE1C,589.145217407439,-1.18256613159851,0.238875999201129,-4.95054394561761,7.4006343150191e-07,0.000291496184399972
PDE6B,86.5775806239684,-1.03493525579395,0.287900068516565,-3.59477252341955,0.000324675132296866,0.00739278013477382
PDLIM1,20.0014218979451,1.02922785930072,0.33218303067325,3.09837578763353,0.00194584519852824,0.0232541302807636
PGR,21.846653685101,1.34718769192254,0.30034142939998,4.48552067762994,7.27360917934189e-06,0.000930171812843891
PHEX,56.6405088691156,1.19396354307287,0.217028185607176,5.50142157679907,3.76741181424236e-08,4.63721301685557e-05
PHYHD1,81.143573314938,1.09253147721411,0.236994406365267,4.60994625978746,4.0277307279072e-06,0.000636586813778523
PIERCE1,14.9611117744768,1.96794338116226,0.584056627456597,3.36943934654435,0.000753212661229974,0.0126784360258659
PIEZO2,573.784104015442,-1.23388604031184,0.326857860397667,-3.77499271031954,0.000160012342691679,0.00484064682835186
PIGH,202.210870411798,-1.12733565676435,0.302725269061617,-3.72395624672775,0.000196124930459396,0.00544272614842679
PIP4K2A,1266.15564231861,-1.07539481197683,0.262734322562352,-4.09308841528163,4.25665316367527e-05,0.00244979474614773
PLAC9,19.6547531463703,1.15620163141048,0.423288640383791,2.73147332837036,0.00630518442686405,0.0499896546307007
PLBD1,6.41390341490759,1.39300692272966,0.50387479540698,2.76458940877272,0.00569944855016715,0.0469516296452275
PLCH2,42.1622839359348,-1.04592095142246,0.378193222008391,-2.76557296788162,0.00568228908951929,0.0469356268634665
PLCL1,270.770882958111,-1.11845488273266,0.251415035839841,-4.44863959307966,8.64158785837986e-06,0.00106367144551833
PLD1,158.879181650067,-1.26513464133974,0.262352684398371,-4.82226680562067,1.41935918209323e-06,0.000390399679381253
PLEKHH1,957.001074687969,-1.08122076939864,0.27942452586987,-3.86945550335182,0.000109078685920383,0.00384952389908228
PLP1,26693.4323523913,-1.07236198089669,0.287148678390948,-3.73451825342094,0.000188074850900731,0.00532176165752728
PNMT,8.49903970479559,2.06322066935853,0.562440284601315,3.6683372899241,0.000244132982910347,0.00616404482748253
POGLUT3,8.12594916793286,1.46704292966296,0.53239395494393,2.75555895411597,0.00585919444341301,0.0476822212266842
POPDC3,40.1608215498358,-1.2615915640593,0.31223535230657,-4.04051480634583,5.33339975620738e-05,0.00267948915302929
PPP1R13L,37.0338748193329,1.10178026502525,0.336948953117988,3.269872943156,0.00107595800771018,0.0159803295654935
PPP1R14A,335.786509660468,-1.31330184206662,0.274272753989508,-4.78830588515859,1.68195145778754e-06,0.000424274352420523
PPP1R32,13.6515946670998,1.42498539421071,0.415675530757979,3.42811950372027,0.000607777854117084,0.0111035037652893
PPP1R3C,97.8075469043841,1.13402677063878,0.234793699381731,4.82988586842384,1.36611332044111e-06,0.000390399679381253
